timestamp,tokenId,side,price,sizeShares,notionalUsd,realizedPnlUsd,reason,question
2026-05-02T12:00:04.000Z,108861992443548984267967885273449830489751895499817592445835863564072356918944,BUY,0.03115500,270.96774193,8.44,0.00,longshot_entry,Will Vinicius Junior be the top goalscorer at the 2026 FIFA World Cup?
2026-05-03T12:00:06.000Z,1323283843623994651720304888221920089723729788420877163031780248268968940539,SELL,0.01890500,206.11791352,3.90,2.65,trailing_stop,Will Luis Diaz be the top goalscorer at the 2026 FIFA World Cup?
2026-05-04T12:00:05.000Z,56756505944530612456073640449852715602259285742783258289347281422394863138517,SELL,0.03781000,210.00000000,7.94,4.56,trailing_stop,Will Deniz Undav be the top goalscorer at the 2026 FIFA World Cup?
2026-05-05T12:00:08.000Z,56756505944530612456073640449852715602259285742783258289347281422394863138517,BUY,0.02814000,300.00000000,8.44,0.00,longshot_entry,Will Deniz Undav be the top goalscorer at the 2026 FIFA World Cup?
2026-05-10T12:00:03.000Z,21681578411954970343236802028806118171644822229289954494018054365027453603503,BUY,0.02512500,336.00000000,8.44,0.00,longshot_entry,Will Jude Bellingham be the top goalscorer at the 2026 FIFA World Cup?
2026-05-12T12:00:08.000Z,1323283843623994651720304888221920089723729788420877163031780248268968940539,BUY,0.01507500,560.00000000,8.44,0.00,longshot_entry,Will Luis Diaz be the top goalscorer at the 2026 FIFA World Cup?
2026-05-13T00:00:11.000Z,1323283843623994651720304888221920089723729788420877163031780248268968940539,SELL,0.07114250,351.40738658,25.00,19.70,milestone_5x,Will Luis Diaz be the top goalscorer at the 2026 FIFA World Cup?
2026-05-13T00:00:11.000Z,1323283843623994651720304888221920089723729788420877163031780248268968940539,SELL,0.07114250,66.11791352,4.70,3.71,milestone_5x,Will Luis Diaz be the top goalscorer at the 2026 FIFA World Cup?
2026-05-13T00:00:11.000Z,1323283843623994651720304888221920089723729788420877163031780248268968940539,SELL,0.07114250,206.11791352,14.66,11.56,milestone_5x,Will Luis Diaz be the top goalscorer at the 2026 FIFA World Cup?
2026-05-16T12:00:12.000Z,27269186948049749581184760460000364446817878078791417927906189617801131722751,SELL,0.06069500,180.00000000,10.93,8.39,milestone_5x,Will Ousmane Dembele be the top goalscorer at the 2026 FIFA World Cup?
2026-05-17T12:00:11.000Z,27269186948049749581184760460000364446817878078791417927906189617801131722751,SELL,0.06069500,180.00000000,10.93,8.39,milestone_5x,Will Ousmane Dembele be the top goalscorer at the 2026 FIFA World Cup?
2026-05-17T12:00:11.000Z,27269186948049749581184760460000364446817878078791417927906189617801131722751,SELL,0.06467500,180.00000000,11.64,9.11,milestone_5x,Will Ousmane Dembele be the top goalscorer at the 2026 FIFA World Cup?
2026-05-19T00:00:08.000Z,12443507708490579267303275816299242973522539389954129092471837019475810226676,BUY,0.03115500,270.96774193,8.44,0.00,longshot_entry,Will Lamine Yamal be the top goalscorer at the 2026 FIFA World Cup?
2026-05-22T00:00:14.000Z,6406547134039165115732762435374256806341514346422272770638775228847699459808,BUY,0.02713500,311.11111111,8.44,0.00,longshot_entry,Will Michael Olise be the top goalscorer at the 2026 FIFA World Cup?
2026-06-06T00:00:04.000Z,27269186948049749581184760460000364446817878078791417927906189617801131722751,SELL,0.01840750,60.00000000,1.10,0.26,trailing_stop,Will Ousmane Dembele be the top goalscorer at the 2026 FIFA World Cup?
2026-06-13T00:00:07.000Z,27269186948049749581184760460000364446817878078791417927906189617801131722751,BUY,0.01909500,442.10526315,8.44,0.00,longshot_entry,Will Ousmane Dembele be the top goalscorer at the 2026 FIFA World Cup?
2026-06-13T12:00:10.000Z,27269186948049749581184760460000364446817878078791417927906189617801131722751,SELL,0.01791000,60.00000000,1.07,-0.07,trailing_stop,Will Ousmane Dembele be the top goalscorer at the 2026 FIFA World Cup?
2026-06-17T00:00:05.000Z,99772246142493105675550102823232573763851473319148558628834685446549523161969,BUY,0.02512500,336.00000000,8.44,0.00,longshot_entry,Will Mikel Oyarzabal be the top goalscorer at the 2026 FIFA World Cup?
2026-06-18T00:00:28.000Z,47123909992795612558508429580660105830764198732527613330469156479033241951072,BUY,0.03115500,270.96774193,8.44,0.00,longshot_entry,Will Cristiano Ronaldo be the top goalscorer at the 2026 FIFA World Cup?
2026-06-22T00:00:05.000Z,3166120750794415955145769483100546895932916257754910321491389357450012347122,BUY,0.01407000,600.00000000,8.44,0.00,longshot_entry,Will Folarin Balogun be the top goalscorer at the 2026 FIFA World Cup?
2026-06-22T12:00:08.000Z,75428844219419347840548824297431434618851036026433174170961305373847177882837,BUY,0.02361750,323.07692307,7.63,0.00,longshot_entry,Will Kai Havertz be the top goalscorer at the 2026 FIFA World Cup?
2026-06-24T00:00:04.000Z,1323283843623994651720304888221920089723729788420877163031780248268968940539,BUY,0.00502500,1680.00000000,8.44,0.00,longshot_entry,Will Luis Diaz be the top goalscorer at the 2026 FIFA World Cup?
2026-06-25T12:00:10.000Z,69171156533727605539752531582255202311865653375527953313192456581517055096736,SELL,0.00010000,336.00000000,0.03,-8.41,backtest_end_close,Will Mohamed Salah be the top goalscorer at the 2026 FIFA World Cup?
2026-06-25T12:00:13.000Z,73688069988278230674219431791309233443099848782086004607415803025316845583685,SELL,0.00010000,381.81818181,0.04,-8.40,backtest_end_close,Will Cody Gakpo be the top goalscorer at the 2026 FIFA World Cup?
2026-06-25T12:00:04.000Z,108861992443548984267967885273449830489751895499817592445835863564072356918944,SELL,0.04350000,270.96774193,11.79,3.35,backtest_end_close,Will Vinicius Junior be the top goalscorer at the 2026 FIFA World Cup?
2026-06-25T12:00:08.000Z,56756505944530612456073640449852715602259285742783258289347281422394863138517,SELL,0.01750000,300.00000000,5.25,-3.19,backtest_end_close,Will Deniz Undav be the top goalscorer at the 2026 FIFA World Cup?
2026-06-25T12:00:04.000Z,21681578411954970343236802028806118171644822229289954494018054365027453603503,SELL,0.00010000,336.00000000,0.03,-8.41,backtest_end_close,Will Jude Bellingham be the top goalscorer at the 2026 FIFA World Cup?
2026-06-25T12:00:08.000Z,12443507708490579267303275816299242973522539389954129092471837019475810226676,SELL,0.00400000,270.96774193,1.08,-7.36,backtest_end_close,Will Lamine Yamal be the top goalscorer at the 2026 FIFA World Cup?
2026-06-25T12:00:08.000Z,6406547134039165115732762435374256806341514346422272770638775228847699459808,SELL,0.00010000,311.11111111,0.03,-8.41,backtest_end_close,Will Michael Olise be the top goalscorer at the 2026 FIFA World Cup?
2026-06-25T12:00:08.000Z,27269186948049749581184760460000364446817878078791417927906189617801131722751,SELL,0.00010000,382.10526315,0.04,-7.26,backtest_end_close,Will Ousmane Dembele be the top goalscorer at the 2026 FIFA World Cup?
2026-06-25T12:00:04.000Z,99772246142493105675550102823232573763851473319148558628834685446549523161969,SELL,0.01600000,336.00000000,5.38,-3.07,backtest_end_close,Will Mikel Oyarzabal be the top goalscorer at the 2026 FIFA World Cup?
2026-06-25T12:00:10.000Z,47123909992795612558508429580660105830764198732527613330469156479033241951072,SELL,0.01750000,270.96774193,4.74,-3.70,backtest_end_close,Will Cristiano Ronaldo be the top goalscorer at the 2026 FIFA World Cup?
2026-06-25T12:00:04.000Z,3166120750794415955145769483100546895932916257754910321491389357450012347122,SELL,0.00010000,600.00000000,0.06,-8.38,backtest_end_close,Will Folarin Balogun be the top goalscorer at the 2026 FIFA World Cup?
2026-06-25T12:00:08.000Z,75428844219419347840548824297431434618851036026433174170961305373847177882837,SELL,0.00010000,323.07692307,0.03,-7.60,backtest_end_close,Will Kai Havertz be the top goalscorer at the 2026 FIFA World Cup?
2026-06-25T12:00:04.000Z,1323283843623994651720304888221920089723729788420877163031780248268968940539,SELL,0.00010000,1680.00000000,0.17,-8.27,backtest_end_close,Will Luis Diaz be the top goalscorer at the 2026 FIFA World Cup?
